,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
Candela_Africa,3.1972182,-5.378702,0.37478945,-7.4444537,2.1480367,-0.8896059,4.3958206,-7.982449,-2.1211967,-1.4001338,-1.4096099,2.563138,3.9329286,2.8814054,-2.2555177,-2.7342186,5.018597,-4.0943003,-1.117851,1.4554155,0.9746783,2.1397362,-0.07628743,-0.4835775,3.1129482,-1.4263655,-1.7050829,1.3448464,-0.45244068,4.2910795,-0.064197086,1.0130715,1.3898408,-1.4970876,0.60951346,0.95826167,-2.4077592,0.4636006,-1.0113121,0.48124444,0.34622222,-1.2307235,-1.6152866,-0.6913322,-0.04457966,-0.20989332,-1.8985142,-3.1461453,-3.63682,0.9721718
Candela_Africa,9.787078,1.522704,0.2618569,-0.84207475,10.003274,-4.21061,-6.4984384,-0.9971815,-1.4444915,4.40917,1.5423303,6.92024,1.1208457,6.5026655,0.1967401,-7.808414,-2.6876009,-6.639994,3.4096744,-1.7732011,-2.7203264,3.413291,1.797962,-1.9676132,-0.25343168,-0.45939523,0.82461405,1.4901369,0.9100388,0.20480622,-4.2134576,0.5905017,-4.7750835,0.6047656,0.8359474,-1.9240396,-1.3688296,-0.023980102,2.1747487,-0.7437895,-0.22222057,-2.854996,-1.1957985,-0.13711564,-3.9968739,-1.2899375,-1.2802908,-0.66254145,-3.9172192,2.947633
Candela_Africa,14.200663,-0.02637121,-0.14914091,-1.6923935,1.8760068,-0.4095746,-4.2628894,-2.1871593,1.5709232,-0.6974599,6.645071,6.0635924,-2.098593,8.186101,-5.369382,-0.0920144,5.1599965,-1.5658339,-2.657878,-1.1307594,0.5091237,2.2039735,-0.7800193,-1.6922218,-1.0856518,-0.59645754,3.2858164,0.09666245,5.6054845,-0.9656023,-0.863825,-0.14591359,0.8110335,-0.17738496,0.76820457,-0.34363624,-1.9127849,3.5094492,-3.6064322,-3.157519,1.2820845,-2.926863,1.9661089,1.3697007,0.64999527,-4.1474447,4.626107,-1.4578192,-0.6997324,-2.9951136
Candela_Africa,4.280388,-2.5818534,1.2663305,-5.585705,-3.38194,-3.542109,7.7137694,-6.1674304,0.30760327,0.921807,-4.998099,4.98881,-2.3653295,5.0527573,0.25424287,1.6673377,0.56784505,-1.4810085,-0.38343886,1.7114733,0.13427785,-0.7589929,0.076880656,1.0930382,4.112409,1.19579,-2.949198,-1.3158005,0.85787565,3.270548,0.23103836,-1.8693699,-1.5491744,-1.6902483,0.8908187,0.018296244,2.5961194,-0.3119247,-1.8222232,0.026674472,1.3870113,1.8372614,0.14116941,-0.41025087,0.14992319,0.078905016,2.513194,0.7783711,2.7475715,-1.1190443
Candela_Africa,13.394575,5.134563,1.0110266,-1.6084785,1.946808,-2.4780061,8.283573,-0.6411776,-1.6848911,1.2663109,-3.760728,-3.319498,3.0848248,10.833906,-0.50253224,3.2095091,-1.9469731,4.955461,0.46625054,3.5134444,-3.7291336,-6.7375255,-0.33933598,-4.9110556,-0.6744408,-0.5708184,0.573029,-0.59933263,0.5396867,-1.633762,-1.7035414,0.6440548,-4.3592143,0.9582012,-0.52673864,2.8547943,2.614215,5.0990744,1.3338863,-0.5516436,-0.4126976,1.3161187,-0.03893773,-1.3958297,1.1445975,0.5655913,-2.1348302,5.2110453,-2.3430152,0.16675209
Candela_Africa,16.484793,1.0683289,-2.6166964,1.1240567,4.7160907,-3.8408425,-6.0872293,1.880806,2.3689756,2.1684408,-6.2243505,-3.5907152,2.6679487,5.9094133,-2.5620234,-3.1890805,-1.4735912,0.81975794,-2.0585027,0.6782605,0.05869775,-6.8246393,5.8840303,0.79586464,1.1137441,-2.839904,-0.34735098,-0.42839366,1.5325329,0.45729578,6.3593206,-3.6205533,1.6237919,-2.397367,-0.437235,-0.20007877,-0.4212086,-3.2943065,-3.3508613,0.09765454,-1.7120687,-2.8098657,4.1030264,2.87638,1.9220862,-1.4208189,-0.4244984,-3.4863029,-1.9564835,2.534275
Candela_Africa,0.8112016,-4.180925,0.29548523,-2.117315,3.6264603,-2.1546695,6.9012566,-4.839312,-0.6880188,0.42702705,7.5286036,5.87924,-0.43736342,-1.9104381,-1.1929982,0.9250942,4.3556128,-1.6440833,-1.9227859,0.58529246,1.4940219,1.0504936,0.079600215,-1.2200893,3.0576534,-0.2585629,0.12181442,0.27304837,0.17702495,2.995498,1.8276325,-0.66925985,2.1886117,-1.2656168,2.2239027,0.079944454,-0.09617429,4.0769258,1.7186542,-0.88107425,-1.7338042,-1.6627403,1.2759684,-3.6550126,-0.75690126,1.1860635,0.009129714,-1.3461918,-0.061439317,-1.1914889
Candela_Africa,-4.103702,-5.777766,0.8968314,-2.9516153,4.9171233,-3.415647,4.331612,-6.3424053,-0.0612756,1.1077859,2.493866,3.7153404,8.32042e-05,1.7859396,1.2848196,-3.215692,-0.35424122,-0.13409789,-0.45130038,1.2419825,-0.15718517,2.1774879,1.7405692,0.46495312,2.210244,0.05946355,-1.4267161,0.1682096,1.4275166,0.37665805,-0.82079387,-0.54716706,3.4820023,-1.4518523,1.3689398,0.17488478,-1.5032078,-0.3797816,1.0439515,0.19429126,0.033454258,1.1986004,0.56437165,-1.7751554,0.7564706,-0.10471202,-0.44901386,-0.5675108,-1.1396537,1.4253799
Chatelier_gut_obesity,16.672632,1.0089774,-0.49829933,-1.863296,2.1985977,-3.5979567,-10.817613,2.5188184,-2.9823618,3.6309237,-4.146953,-1.9795605,-3.6996555,-0.5882813,3.6405914,-3.8571775,-1.8523161,3.9932582,-7.8916903,2.8889441,-0.34916863,3.1053948,-3.078297,-4.690946,4.020951,0.51308465,-2.7601268,-4.484003,3.529827,0.515999,-1.4402437,0.43715575,0.72922117,2.1752596,-0.5472026,0.069202684,2.2499418,-3.056817,1.6349474,-1.6031077,0.5831835,1.4548517,-1.1242431,1.585213,-6.6716466,-2.214148,-3.9523923,-3.0897524,-0.469063,-0.19662279
Chatelier_gut_obesity,15.615015,6.6307073,-5.145506,3.599201,6.5498915,3.693195,-4.45148,-0.35662794,6.5543847,4.9986186,3.140034,-6.809796,-9.103819,-6.297089,-1.8739797,1.9963614,5.5299053,-0.74522686,-6.6233516,0.15594451,3.123105,0.5023827,0.8175406,-0.8476695,-2.7822244,6.0656586,2.1002538,-3.4574978,4.671623,1.5636086,-1.3965585,9.354475,3.6002746,0.08883308,-0.49070653,2.72528,2.1883802,3.6886766,-0.12805642,-2.0121977,1.6496463,2.0114021,1.6450509,3.4251335,-3.0205429,1.3504593,-2.021206,-7.6032324,-2.8540483,3.035856
